# L-12 Launch (Up to date)
# 3777 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (24 m/s)
#
# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (km),Position North of launch (km),Lateral distance (km),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.5724,0,8.5724,0,0,0,0,0,0,43.8,-120.6,9.8008,90,0,0,0,35.808,8.7035,40.854,0.13047,NaN,250.08,NaN,0.0090253,646301,43.988,0,0.72169,0,0.52564,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.004557
2e-3,0,0,-6.1154,0,6.1154,0,0,0,0,0,0,43.8,-120.6,9.8008,90,0,0,0,35.808,8.7035,40.854,0.13047,NaN,250.08,NaN,0.0090185,645816,131.97,0,0.72177,0,0.52572,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.0081961
4e-3,0,0,-3.6583,0,3.6583,0,0,0,0,0,0,43.8,-120.6,9.8008,90,0,0,0,35.807,8.7025,40.853,0.13047,NaN,250.08,NaN,0.0090118,645331,219.94,0,0.72186,0,0.5258,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.0094666
6e-3,0,0,-1.2011,0,1.2011,0,0,0,0,0,0,43.8,-120.6,9.8008,90,0,0,0,35.806,8.7016,40.853,0.13047,NaN,250.07,NaN,0.009005,644846,307.92,0,0.72194,0,0.52589,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.010651
8e-3,0,0,1.2563,0,1.2563,0,0,0,0,0,0,43.8,-120.6,9.8008,90,0,0,0,35.805,8.7006,40.852,0.13046,NaN,250.07,NaN,0.0089982,644361,395.9,0,0.72202,0,0.52597,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.011826
0.01,0,0.002513,3.7138,0.002513,3.7138,0,0,0,0,0,0,43.8,-120.6,9.8008,89.952,0,0,0,35.804,8.6996,40.852,0.13046,NaN,250.07,NaN,0.0089914,643876,483.87,0,0.7221,0,0.52605,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6453e-7,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.013063
0.012,1.4967e-8,0.0099412,6.1714,0.0099412,6.1714,0,0,0,0,0,0,43.8,-120.6,9.8008,89.811,0,0,0,35.803,8.6986,40.851,0.13046,NaN,250.07,NaN,0.0089847,643394,571.85,0,0.72218,6.5343e-8,0.52613,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0464e-6,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.014566
0.014,4.7193e-8,0.022285,8.6292,0.022285,8.6292,0,0,0,0,0,0,43.8,-120.6,9.8008,89.575,0,0,0,35.802,8.6976,40.851,0.13046,NaN,250.07,NaN,0.0089781,642923,659.83,5.4573e-8,0.72226,7.3598e-7,0.52621,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3458e-6,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.015853
0.016,1.0902e-7,0.039544,11.087,0.039544,11.087,0,0,0,0,0,0,43.8,-120.6,9.8008,89.246,0,0,0,35.801,8.6967,40.85,0.13046,NaN,250.06,NaN,0.0089719,642476,747.8,3.0415e-7,0.72234,4.1075e-6,0.52629,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1625e-6,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.017162
0.018,2.1028e-7,0.061719,13.545,0.061719,13.545,0,0,0,0,0,0,43.8,-120.6,9.8008,88.822,0,0,0,35.8,8.6957,40.85,0.13046,NaN,250.06,NaN,0.0089662,642070,835.78,1.1523e-6,0.72241,1.5581e-5,0.52636,0.076041,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4968e-6,13.97,153.28,90,0,NaN,5.9715,857.37,334.92,2e-3,0.020957
